date,time,type,title,description,speakers,room
2015-03-04,1 p.m. - 5 p.m.,Outside Event,Techraking <=10: Bootstrapping the News (Sponsored by The Center for Investigative Reporting),"Give us four hours and your laptop, and we’ll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it.

One of the biggest hurdles to learning programming is the often bewildering process of setting up your computer. Veteran data crunchers and programmers from The Center for Investigative Reporting will give you a virtual playground on your personal laptop that will allow you to explore all the tools you'll gather throughout the conference. In this four-hour workshop, we’ll introduce crucial programming concepts and tools and -- most importantly -- why we use them.

You’ll walk into conference sessions with a laptop loaded with many of the tools presenters will be talking about, and a leg up as you continue developing your skills once you're back home.

Additional details including the schedule for the workshop can be found on the conference website.

Register for this workshop.","Michael Corey, Aaron Williams, Eric Sagara",International 10
2015-03-04,1 p.m. - 5 p.m.,Special Event,Conference registration (Wednesday),Registration will be located on the International Level of the Atlanta Marriott Marquis.,,International Foyer
2015-03-04,2 p.m. - 5 p.m.,Outside Event,Secrets of Covering Money (Sponsored by the Donald W. Reynolds National Center for Business Journalism),"Money is in every story, from education to politics to metro, sports and entertainment. Learn how to explore the money across many beats in this pre-conference Reynolds Center workshop led by Brandon Quester.

This free workshop sponsored by the Donald W. Reynolds National Center for Business Journalism will be held Wednesday afternoon before the CAR Conference begins.

Sign up for this free workshop",Brandon Quester,International 8-9
2015-03-05,7:30 a.m. - 5 p.m.,Special Event,Conference registration (Thursday),Registration will be located on the International Level of the Atlanta Marriott Marquis.,,International Foyer
2015-03-05,7:30 a.m. - 5 p.m.,Special Event,Conference sales (Thursday),"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.",,International Foyer
2015-03-05,8:30 a.m. - 8:50 a.m.,Panel,Welcome and overview of the conference,Welcome to the conference! IRE staff will highlight key sessions and events that you won't want to miss while in Atlanta. We'll also give you a brief rundown on some of the resources IRE has to offer.,"Jaimi Dowdell, Alex Richards, Megan Luther, Mark Horvit",International 8-9
2015-03-05,9 a.m. - 10 a.m.,Hands-on,Twitter tricks and analytics,"If you know the basics of Twitter, you're ready to ratchet up your skills. This hands-on session will take you to the next level: advanced Twitter searches, mining tweets by location, creative uses of Twitter lists (public and private), and apps/services that provide robust analytics. The payoff: better sources (particularly during breaking news) and a competitive edge in your market.

Prerequisite: Please have an active Twitter account set up before the class",Doug Haddix,M107
2015-03-05,9 a.m. - 5:30 p.m.,Hands-on,Map Camp (pre-registered attendees only),"Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*.

IRE and NICAR trainers conduct this hands-on training using the latest version of ArcView GIS. We will look at noteworthy stories that have used mapping and show you how to uncover stories using census and other data. Youíll learn how to display data geographically; import and query data; geocode to merge databases with addresses into maps. Attendees will also learn how ArcGIS Online may help as a storytelling platform. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.

Participants should have basic knowledge in using relational database programs such as Microsoft Access. Preregistration is required and seating is limited. Laptops will be provided for the training.

*Attendees of the bootcamp have the option to receive the following discounts from Esri. (1) A free license of ArcGIS Desktop that will not time out and includes one year call-in technical support and upgrades at no cost. Call-in technical support and upgrades are available on a nominal fee basis in year two. (2) A free one-year subscription to ArcGIS Online that includes access to Esri's Community Analyst database. Please contact the Esri Media Relations team press@esri.com for further information.

Prerequisites: Participants should have experience working with data in a relational database manager, such as Microsoft Access or MySQL.

Attendees must be registered for the conference to attend this workshop.

NOTE: Registration is required for this session. Click here to sign up.","David Herzog, Jennifer LaFleur, Robby Deming, Brian Peterson",M109
2015-03-05,9 a.m. - 10 a.m.,Special Event,NICAR Commons: Conversations - Facilitation training,"Facilitation training and discussion about facilitation and creating safe spaces

*David Eads and Erika Owens",,International Foyer
2015-03-05,9 a.m. - 10 a.m.,Panel,Key data for investigating universities (Sponsored by Lumina Foundation),"*Moderated by Mark Horvit, IRE/NICAR

Colleges and universities have been the increasing focus of public scrutiny, from the value (and cost) of an education to questions of gender equity and issues of diversity and safety. Learn where to find data to examine campuses on your coverage area and how to mine it for stories.","Sandhya Kambhampati, Anupama Narayanswamy, Todd Wallack, Mark Horvit",International 2-3
